"time","modis_pixels"
2001-01-01,0.6885
2001-01-17,0.6655
2001-02-02,0.6317
2001-02-18,0.6229
2001-03-06,0.65015
2001-03-22,0.6774
2001-04-07,0.6556
2001-04-23,0.6617
2001-05-09,0.6511
2001-05-25,0.6599
2001-06-10,0.6382
2001-06-26,0.5976
2001-07-12,0.5952
2001-07-28,0.5714
2001-08-13,0.5328
2001-08-29,0.5165
2001-09-14,0.5292
2001-09-30,0.5034
2001-10-16,0.5402
2001-11-01,0.5792
2001-11-17,0.62555
2001-12-03,0.6719
2001-12-19,0.6615
2002-01-01,0.6675
2002-01-17,0.6735
2002-02-02,0.6933
2002-02-18,0.6864
2002-03-06,0.6597
2002-03-22,0.7072
2002-04-07,0.7352
2002-04-23,0.7
2002-05-09,0.7147
2002-05-25,0.6848
2002-06-10,0.6775
2002-06-26,0.6487
2002-07-12,0.6266
2002-07-28,0.6147
2002-08-13,0.5655
2002-08-29,0.5519
2002-09-14,0.5465
2002-09-30,0.5424
2002-10-16,0.5455
2002-11-01,0.6393
2002-11-17,0.6479
2002-12-03,0.7008
2002-12-19,0.6684
2003-01-01,0.6768
2003-01-17,0.6605
2003-02-02,0.7004
2003-02-18,0.5595
2003-03-06,0.6924
2003-03-22,0.7096
2003-04-07,0.7268
2003-04-23,0.7089
2003-05-09,0.6874
2003-05-25,0.6947
2003-06-10,0.6728
2003-06-26,0.6702
2003-07-12,0.6238
2003-07-28,0.6042
2003-08-13,0.5852
2003-08-29,0.5872
2003-09-14,0.587
2003-09-30,0.6625
2003-10-16,0.6568
2003-11-01,0.701
2003-11-17,0.6485
2003-12-03,0.6988
2003-12-19,0.7434
2004-01-01,0.6815
2004-01-17,0.69305
2004-02-02,0.7046
2004-02-18,0.71615
2004-03-05,0.7277
2004-03-21,0.6685
2004-04-06,0.7156
2004-04-22,0.7067
2004-05-08,0.6885
2004-05-24,0.6918
2004-06-09,0.6765
2004-06-25,0.6526
2004-07-11,0.6346
2004-07-27,0.5976
2004-08-12,0.5792
2004-08-28,0.5484
2004-09-13,0.5353
2004-09-29,0.5239
2004-10-15,0.6398
2004-10-31,0.6765
2004-11-16,0.6982
2004-12-02,0.7199
2004-12-18,0.6923
2005-01-01,0.7769
2005-01-17,0.7072
2005-02-02,0.7106
2005-02-18,0.7449
2005-03-06,0.74175
2005-03-22,0.7386
2005-04-07,0.7116
2005-04-23,0.7176
2005-05-09,0.6957
2005-05-25,0.7023
2005-06-10,0.6832
2005-06-26,0.688
2005-07-12,0.6617
2005-07-28,0.6269
2005-08-13,0.6045
2005-08-29,0.5902
2005-09-14,0.5728
2005-09-30,0.6123
2005-10-16,0.6548
2005-11-01,0.6412
2005-11-17,0.6153
2005-12-03,0.6523
2005-12-19,0.6893
2006-01-01,0.6815
2006-01-17,0.717
2006-02-02,0.7321
2006-02-18,0.7201
2006-03-06,0.7081
2006-03-22,0.7123
2006-04-07,0.5616
2006-04-23,0.7313
2006-05-09,0.7138
2006-05-25,0.7072
2006-06-10,0.6907
2006-06-26,0.6708
2006-07-12,0.6493
2006-07-28,0.614
2006-08-13,0.5896
2006-08-29,0.5653
2006-09-14,0.5845
2006-09-30,0.4346
2006-10-16,0.4695
2006-11-01,0.4735
2006-11-17,0.44
2006-12-03,0.5061
2006-12-19,0.2791
2007-01-01,0.3822
2007-01-17,0.2483
2007-02-02,0.2346
2007-02-18,0.2413
2007-03-06,0.2066
2007-03-22,0.2046
2007-04-07,0.1935
2007-04-23,0.2015
2007-05-09,0.192
2007-05-25,0.2154
2007-06-10,0.2142
2007-06-26,0.2473
2007-07-12,0.2236
2007-07-28,0.1917
2007-08-13,0.1894
2007-08-29,0.1661
2007-09-14,0.2127
2007-09-30,0.1727
2007-10-16,0.2257
2007-11-01,0.1873
2007-11-17,0.1768
2007-12-03,0.2412
2007-12-19,0.3503
2008-01-01,0.4475
2008-01-17,0.548
2008-02-02,0.7514
2008-02-18,0.7393
2008-03-05,0.7753
2008-03-21,0.7464
2008-04-06,0.4802
2008-04-22,0.2872
2008-05-08,0.2323
2008-05-24,0.1914
2008-06-09,0.1829
2008-06-25,0.185
2008-07-11,0.2199
2008-07-27,0.2069
2008-08-12,0.1727
2008-08-28,0.1692
2008-09-13,0.1704
2008-09-29,0.1943
2008-10-15,0.1862
2008-10-31,0.1632
2008-11-16,0.271433333333333
2008-12-02,0.379666666666667
2008-12-18,0.4879
2009-01-01,0.672
2009-01-17,0.8023
2009-02-02,0.8134
2009-02-18,0.7696
2009-03-06,0.7464
2009-03-22,0.6834
2009-04-07,0.6204
2009-04-23,0.5857
2009-05-09,0.5486
2009-05-25,0.5567
2009-06-10,0.5454
2009-06-26,0.4991
2009-07-12,0.4611
2009-07-28,0.408
2009-08-13,0.3755
2009-08-29,0.3796
2009-09-14,0.3331
2009-09-30,0.3192
2009-10-16,0.3795
2009-11-01,0.6887
2009-11-17,0.6669
2009-12-03,0.7738
2009-12-19,0.7362
2010-01-01,0.7717
2010-01-17,0.7741
2010-02-02,0.2562
2010-02-18,0.3579
2010-03-06,0.3257
2010-03-22,0.4291
2010-04-07,0.6727
2010-04-23,0.6589
2010-05-09,0.5588
2010-05-25,0.4023
2010-06-10,0.2306
2010-06-26,0.2037
2010-07-12,0.2054
2010-07-28,0.1874
2010-08-13,0.1895
2010-08-29,0.1703
2010-09-14,0.1705
2010-09-30,0.2855
2010-10-16,0.53175
2010-11-01,0.778
2010-11-17,0.8023
2010-12-03,0.8266
2010-12-19,0.78005
2011-01-01,0.7335
2011-01-17,0.8384
2011-02-02,0.3741
2011-02-18,0.3378
2011-03-06,0.2921
2011-03-22,0.3669
2011-04-07,0.4491
2011-04-23,0.4368
2011-05-09,0.4519
2011-05-25,0.4238
2011-06-10,0.4223
2011-06-26,0.3585
2011-07-12,0.3458
2011-07-28,0.2975
2011-08-13,0.2819
2011-08-29,0.2783
2011-09-14,0.2414
2011-09-30,0.32965
2011-10-16,0.4179
2011-11-01,0.4598
2011-11-17,0.5017
2011-12-03,0.2223
2011-12-19,0.3389
2012-01-01,0.591
2012-01-17,0.7492
2012-02-02,0.9148
2012-02-18,0.9247
2012-03-05,0.8664
2012-03-21,0.3016
2012-04-06,0.3133
2012-04-22,0.4706
2012-05-08,0.4718
2012-05-24,0.4692
2012-06-09,0.4265
2012-06-25,0.3546
2012-07-11,0.3256
2012-07-27,0.2905
2012-08-12,0.2544
2012-08-28,0.2314
2012-09-13,0.2071
2012-09-29,0.1883
2012-10-15,0.1912
2012-10-31,0.251233333333333
2012-11-16,0.311266666666667
2012-12-02,0.3713
2012-12-18,0.5613
2013-01-01,0.5613
2013-01-17,0.7236
2013-02-02,0.8859
2013-02-18,0.8492
2013-03-06,0.5423
2013-03-22,0.2639
2013-04-07,0.3083
2013-04-23,0.532
2013-05-09,0.5666
2013-05-25,0.4938
2013-06-10,0.4023
2013-06-26,0.3131
2013-07-12,0.2839
2013-07-28,0.262
2013-08-13,0.2524
2013-08-29,0.253
2013-09-14,0.2381
2013-09-30,0.2229
2013-10-16,0.2257
2013-11-01,0.22385
2013-11-17,0.222
2013-12-03,0.3532
2013-12-19,0.6633
2014-01-01,0.7068
2014-01-17,0.9118
2014-02-02,0.9148
2014-02-18,0.8855
2014-03-06,0.5953
2014-03-22,0.4106
2014-04-07,0.2344
2014-04-23,0.2462
2014-05-09,0.2835
2014-05-25,0.4673
2014-06-10,0.5096
2014-06-26,0.4488
2014-07-12,0.3602
2014-07-28,0.3481
2014-08-13,0.2686
2014-08-29,0.242
2014-09-14,0.2453
2014-09-30,0.2299
2014-10-16,0.1937
2014-11-01,0.4585
2014-11-17,0.4767
2014-12-03,0.4949
2014-12-19,0.8121
2015-01-01,0.8568
2015-01-17,0.8947
2015-02-02,0.8484
2015-02-18,0.9
2015-03-06,0.7241
2015-03-22,0.6507
2015-04-07,0.3411
2015-04-23,0.4502
2015-05-09,0.7284
2015-05-25,0.667
2015-06-10,0.5555
2015-06-26,0.4132
2015-07-12,0.32
2015-07-28,0.2606
2015-08-13,0.2268
2015-08-29,0.2336
2015-09-14,0.2085
2015-09-30,0.2304
2015-10-16,0.2048
2015-11-01,0.2332
2015-11-17,0.2749
2015-12-03,0.3277
2015-12-19,0.499
2016-01-01,0.6703
2016-01-17,0.8416
2016-02-02,0.8561
2016-02-18,0.5862
2016-03-05,0.5632
2016-03-21,0.6069
2016-04-06,0.5816
2016-04-22,0.5937
2016-05-08,0.5258
2016-05-24,0.4743
2016-06-09,0.4308
2016-06-25,0.3738
2016-07-11,0.3247
2016-07-27,0.3087
2016-08-12,0.2994
2016-08-28,0.3007
2016-09-13,0.2774
2016-09-29,0.3248
2016-10-15,0.4959
2016-10-31,0.6955
2016-11-16,0.3079
2016-12-02,0.3507
2016-12-18,0.4835
2017-01-01,0.6718
2017-01-17,0.9286
2017-02-02,0.9233
2017-02-18,0.918
2017-03-06,0.9009
2017-03-22,0.3719
2017-04-07,0.3303
2017-04-23,0.3916
2017-05-09,0.2747
2017-05-25,0.2458
2017-06-10,0.233
2017-06-26,0.2285
2017-07-12,0.2247
2017-07-28,0.2091
2017-08-13,0.2111
2017-08-29,0.203
2017-09-14,0.2121
2017-09-30,0.1996
2017-10-16,0.2048
2017-11-01,0.27805
2017-11-17,0.3513
2017-12-03,0.8232
2017-12-19,0.8332
2018-01-01,0.89535
2018-01-17,0.9575
2018-02-02,0.9132
2018-02-18,0.705
2018-03-06,0.2761
2018-03-22,0.3321
2018-04-07,0.3881
2018-04-23,0.645
2018-05-09,0.7014
2018-05-25,0.7472
2018-06-10,0.5454
2018-06-26,0.4308
2018-07-12,0.3055
2018-07-28,0.2715
2018-08-13,0.2531
2018-08-29,0.235
2018-09-14,0.2163
2018-09-30,0.2007
2018-10-16,0.34232
2018-11-01,0.48394
2018-11-17,0.62556
2018-12-03,0.76718
2018-12-19,0.9088
2019-01-01,0.9077
2019-01-17,0.9458
2019-02-02,0.8889
2019-02-18,0.8434
2019-03-06,0.7029
2019-03-22,0.4138
2019-04-07,0.2696
2019-04-23,0.3135
2019-05-09,0.5067
2019-05-25,0.5806
2019-06-10,0.5917
2019-06-26,0.4874
2019-07-12,0.3358
2019-07-28,0.2997
2019-08-13,0.2775
2019-08-29,0.262
2019-09-14,0.2512
2019-09-30,0.2368
2019-10-16,0.2881
2019-11-01,0.2701
2019-11-17,0.3299
2019-12-03,0.8
2019-12-19,0.8569
2020-01-01,0.9455
2020-01-17,0.9388
2020-02-02,0.939
2020-02-18,0.9266
2020-03-05,0.5708
2020-03-21,0.3123
2020-04-06,0.3335
2020-04-22,0.3547
2020-05-08,0.6123
2020-05-24,0.7561
2020-06-09,0.7904
2020-06-25,0.7669
2020-07-11,0.7532
2020-07-27,0.6846
2020-08-12,0.5976
2020-08-28,0.5143
2020-09-13,0.4263
2020-09-29,0.2653
2020-10-15,0.2658
2020-10-31,0.2451
2020-11-16,0.2975
2020-12-02,0.5358
2020-12-18,0.8485
2021-01-01,0.8238
2021-01-17,0.948
2021-02-02,0.92
2021-02-18,0.9277
2021-03-06,0.8993
2021-03-22,0.5253
2021-04-07,0.4155
2021-04-23,0.4494
2021-05-09,0.5621
2021-05-25,0.6067
2021-06-10,0.6105
2021-06-26,0.5172
2021-07-12,0.3949
2021-07-28,0.2535
2021-08-13,0.2308
2021-08-29,0.2175
2021-09-14,0.2019
2021-09-30,0.2059
2021-10-16,0.2381
2021-11-01,0.3538
2021-11-17,0.4695
2021-12-03,0.7007
2021-12-19,0.9319
2022-01-01,0.9141
2022-01-17,0.9602
2022-02-02,0.8317
2022-02-18,0.5736
2022-03-06,0.42495
2022-03-22,0.2763
2022-04-07,0.2896
2022-04-23,0.6869
2022-05-09,0.6383
2022-05-25,0.6258
2022-06-10,0.5007
2022-06-26,0.4488
2022-07-12,0.3804
2022-07-28,0.3225
2022-08-13,0.3016
2022-08-29,0.2544
2022-09-14,0.2461
2022-09-30,0.2439
2022-10-16,0.2311
2022-11-01,0.2244
2022-11-17,0.403025
2022-12-03,0.58165
2022-12-19,0.760275
2023-01-01,0.9389
2023-01-17,0.8408
2023-02-02,0.9505
2023-02-18,0.9093
2023-03-06,0.8265
2023-03-22,0.6199
2023-04-07,0.2694
2023-04-23,0.2945
2023-05-09,0.3476
2023-05-25,0.3746
2023-06-10,0.36
2023-06-26,0.3419
2023-07-12,0.3055
2023-07-28,0.287
2023-08-13,0.2511
2023-08-29,0.2405
2023-09-14,0.2431
2023-09-30,0.2364
2023-10-16,0.2135
2023-11-01,0.2308
2023-11-17,0.334
2023-12-03,0.5203
2023-12-19,0.7912
