"time","modis_pixels"
2001-01-01,0.783833333333333
2001-01-17,0.7462
2001-02-02,0.81575
2001-02-18,0.8853
2001-03-06,0.7827
2001-03-22,0.79905
2001-04-07,0.8154
2001-04-23,0.83175
2001-05-09,0.8481
2001-05-25,0.7099
2001-06-10,0.5717
2001-06-26,0.8823
2001-07-12,0.817
2001-07-28,0.8405
2001-08-13,0.8301
2001-08-29,0.8484
2001-09-14,0.6058
2001-09-30,0.8712
2001-10-16,0.8673
2001-11-01,0.847
2001-11-17,0.8338
2001-12-03,0.8206
2001-12-19,0.8022
2002-01-01,0.8288
2002-01-17,0.8424
2002-02-02,0.8756
2002-02-18,0.8571
2002-03-06,0.8386
2002-03-22,0.7052
2002-04-07,0.7981
2002-04-23,0.891
2002-05-09,0.886366666666667
2002-05-25,0.881733333333333
2002-06-10,0.8771
2002-06-26,0.8626
2002-07-12,0.7986
2002-07-28,0.8467
2002-08-13,0.8434
2002-08-29,0.8445
2002-09-14,0.8613
2002-09-30,0.8233
2002-10-16,0.8275
2002-11-01,0.853
2002-11-17,0.8163
2002-12-03,0.815675
2002-12-19,0.81505
2003-01-01,0.814425
2003-01-17,0.8138
2003-02-02,0.828
2003-02-18,0.8422
2003-03-06,0.8564
2003-03-22,0.833925
2003-04-07,0.81145
2003-04-23,0.788975
2003-05-09,0.7665
2003-05-25,0.82345
2003-06-10,0.8804
2003-06-26,0.8456
2003-07-12,0.8617
2003-07-28,0.8684
2003-08-13,0.8233
2003-08-29,0.8264
2003-09-14,0.9108
2003-09-30,0.8483
2003-10-16,0.8527
2003-11-01,0.8298
2003-11-17,0.8226
2003-12-03,0.8154
2003-12-19,0.7583
2004-01-01,0.8032
2004-01-17,0.8481
2004-02-02,0.7633
2004-02-18,0.790475
2004-03-05,0.81765
2004-03-21,0.844825
2004-04-06,0.872
2004-04-22,0.87275
2004-05-08,0.8735
2004-05-24,0.8321
2004-06-09,0.8447
2004-06-25,0.8554
2004-07-11,0.8521
2004-07-27,0.8488
2004-08-12,0.8672
2004-08-28,0.8444
2004-09-13,0.8342
2004-09-29,0.8566
2004-10-15,0.8649
2004-10-31,0.82985
2004-11-16,0.7948
2004-12-02,0.8005
2004-12-18,0.8062
2005-01-01,0.82
2005-01-17,0.8804
2005-02-02,0.9408
2005-02-18,0.8226
2005-03-06,0.7896
2005-03-22,0.8107
2005-04-07,0.8318
2005-04-23,0.8529
2005-05-09,0.87
2005-05-25,0.8588
2005-06-10,0.8295
2005-06-26,0.8569
2005-07-12,0.8738
2005-07-28,0.8587
2005-08-13,0.8521
2005-08-29,0.865
2005-09-14,0.8195
2005-09-30,0.8183
2005-10-16,0.8745
2005-11-01,0.8766
2005-11-17,0.8328
2005-12-03,0.81795
2005-12-19,0.8031
2006-01-01,0.8375
2006-01-17,0.8719
2006-02-02,0.8115
2006-02-18,0.8639
2006-03-06,0.3636
2006-03-22,0.868
2006-04-07,0.8638
2006-04-23,0.86885
2006-05-09,0.8739
2006-05-25,0.859
2006-06-10,0.8441
2006-06-26,0.8585
2006-07-12,0.8641
2006-07-28,0.864
2006-08-13,0.8681
2006-08-29,0.8387
2006-09-14,0.8716
2006-09-30,0.8279
2006-10-16,0.623
2006-11-01,0.74865
2006-11-17,0.8743
2006-12-03,0.83785
2006-12-19,0.8014
2007-01-01,0.4248
2007-01-17,0.6337
2007-02-02,0.8426
2007-02-18,0.8806
2007-03-06,0.8406
2007-03-22,0.8932
2007-04-07,0.8414
2007-04-23,0.8823
2007-05-09,0.7902
2007-05-25,0.6981
2007-06-10,0.8515
2007-06-26,0.8519
2007-07-12,0.8516
2007-07-28,0.8468
2007-08-13,0.8411
2007-08-29,0.8315
2007-09-14,0.8735
2007-09-30,0.8491
2007-10-16,0.7345
2007-11-01,0.78725
2007-11-17,0.84
2007-12-03,0.8497
2007-12-19,0.8905
2008-01-01,0.8204
2008-01-17,0.7503
2008-02-02,0.6802
2008-02-18,0.6101
2008-03-05,0.54
2008-03-21,0.8312
2008-04-06,0.8238
2008-04-22,0.8609
2008-05-08,0.87995
2008-05-24,0.899
2008-06-09,0.849
2008-06-25,0.8433
2008-07-11,0.8703
2008-07-27,0.8642
2008-08-12,0.838
2008-08-28,0.8668
2008-09-13,0.8892
2008-09-29,0.8687
2008-10-15,0.8902
2008-10-31,0.8248
2008-11-16,0.8504
2008-12-02,0.876
2008-12-18,0.767
2009-01-01,0.658
2009-01-17,0.69558
2009-02-02,0.73316
2009-02-18,0.77074
2009-03-06,0.80832
2009-03-22,0.8459
2009-04-07,0.8216
2009-04-23,0.7973
2009-05-09,0.8479
2009-05-25,0.8388
2009-06-10,0.819
2009-06-26,0.7155
2009-07-12,0.8535
2009-07-28,0.8409
2009-08-13,0.8562
2009-08-29,0.8473
2009-09-14,0.8648
2009-09-30,0.8404
2009-10-16,0.7993
2009-11-01,0.8562
2009-11-17,0.8732
2009-12-03,0.83655
2009-12-19,0.7999
2010-01-01,0.7999
2010-01-17,0.8817
2010-02-02,0.8769
2010-02-18,0.8594
2010-03-06,0.8419
2010-03-22,0.7616
2010-04-07,0.800866666666667
2010-04-23,0.840133333333333
2010-05-09,0.8794
2010-05-25,0.8613
2010-06-10,0.8432
2010-06-26,0.8445
2010-07-12,0.8365
2010-07-28,0.8355
2010-08-13,0.8445
2010-08-29,0.8137
2010-09-14,0.8012
2010-09-30,0.82
2010-10-16,0.8185
2010-11-01,0.8714
2010-11-17,0.8908
2010-12-03,0.8816
2010-12-19,0.881
2011-01-01,0.8804
2011-01-17,0.8798
2011-02-02,0.7828
2011-02-18,0.8749
2011-03-06,0.8885
2011-03-22,0.778
2011-04-07,0.8228
2011-04-23,0.816566666666667
2011-05-09,0.810333333333333
2011-05-25,0.8041
2011-06-10,0.875
2011-06-26,0.866
2011-07-12,0.876
2011-07-28,0.8742
2011-08-13,0.8306
2011-08-29,0.8736
2011-09-14,0.8506
2011-09-30,0.8405
2011-10-16,0.8554
2011-11-01,0.7164
2011-11-17,0.9305
2011-12-03,0.8934
2011-12-19,0.8897
2012-01-01,0.886
2012-01-17,0.8823
2012-02-02,0.389
2012-02-18,0.47542
2012-03-05,0.56184
2012-03-21,0.64826
2012-04-06,0.73468
2012-04-22,0.8211
2012-05-08,0.7828
2012-05-24,0.8475
2012-06-09,0.8358
2012-06-25,0.8604
2012-07-11,0.8642
2012-07-27,0.8799
2012-08-12,0.871
2012-08-28,0.8358
2012-09-13,0.8793
2012-09-29,0.8827
