"time","modis_pixels"
2001-01-01,0.794633333333333
2001-01-17,0.826366666666667
2001-02-02,0.8581
2001-02-18,0.851275
2001-03-06,0.84445
2001-03-22,0.837625
2001-04-07,0.8308
2001-04-23,0.8687
2001-05-09,0.7983
2001-05-25,0.859
2001-06-10,0.8493
2001-06-26,0.8092
2001-07-12,0.7856
2001-07-28,0.7681
2001-08-13,0.7728
2001-08-29,0.7465
2001-09-14,0.6764
2001-09-30,0.7349
2001-10-16,0.66095
2001-11-01,0.587
2001-11-17,0.71065
2001-12-03,0.8343
2001-12-19,0.825566666666667
2002-01-01,0.816833333333333
2002-01-17,0.8081
2002-02-02,0.7861
2002-02-18,0.7994
2002-03-06,0.8127
2002-03-22,0.826
2002-04-07,0.8393
2002-04-23,0.8394
2002-05-09,0.8395
2002-05-25,0.8291
2002-06-10,0.8044
2002-06-26,0.7634
2002-07-12,0.7175
2002-07-28,0.7003
2002-08-13,0.7342
2002-08-29,0.7901
2002-09-14,0.7248
2002-09-30,0.7186
2002-10-16,0.4172
2002-11-01,0.7833
2002-11-17,0.7176
2002-12-03,0.737571428571429
2002-12-19,0.757542857142857
2003-01-01,0.777514285714286
2003-01-17,0.797485714285714
2003-02-02,0.817457142857143
2003-02-18,0.837428571428571
2003-03-06,0.8574
2003-03-22,0.84635
2003-04-07,0.8353
2003-04-23,0.8052
2003-05-09,0.7925
2003-05-25,0.5832
2003-06-10,0.8152
2003-06-26,0.7895
2003-07-12,0.7086
2003-07-28,0.6821
2003-08-13,0.6228
2003-08-29,0.5681
2003-09-14,0.6077
2003-09-30,0.611
2003-10-16,0.6276
2003-11-01,0.7001
2003-11-17,0.6884
2003-12-03,0.69
2003-12-19,0.7328
2004-01-01,0.7756
2004-01-17,0.8184
2004-02-02,0.80005
2004-02-18,0.7817
2004-03-05,0.7615
2004-03-21,0.7413
2004-04-06,0.7626
2004-04-22,0.7732
2004-05-08,0.7203
2004-05-24,0.7448
2004-06-09,0.7231
2004-06-25,0.6407
2004-07-11,0.501
2004-07-27,0.475
2004-08-12,0.5077
2004-08-28,0.5369
2004-09-13,0.5697
2004-09-29,0.5896
2004-10-15,0.6729
2004-10-31,0.6708
2004-11-16,0.7801
2004-12-02,0.7614
2004-12-18,0.7427
2005-01-01,0.724
2005-01-17,0.7344
2005-02-02,0.8019
2005-02-18,0.6463
2005-03-06,0.703566666666667
2005-03-22,0.760833333333333
2005-04-07,0.8181
2005-04-23,0.6777
2005-05-09,0.7176
2005-05-25,0.6954
2005-06-10,0.6519
2005-06-26,0.642
2005-07-12,0.5563
2005-07-28,0.4881
2005-08-13,0.5034
2005-08-29,0.4954
2005-09-14,0.4583
2005-09-30,0.5564
2005-10-16,0.6846
2005-11-01,0.6294
2005-11-17,0.6526
2005-12-03,0.6758
2005-12-19,0.699
2006-01-01,0.7222
2006-01-17,0.7454
2006-02-02,0.6958
2006-02-18,0.7132
2006-03-06,0.7158
2006-03-22,0.7184
2006-04-07,0.721
2006-04-23,0.6985
2006-05-09,0.6502
2006-05-25,0.6132
2006-06-10,0.5469
2006-06-26,0.5155
2006-07-12,0.467
2006-07-28,0.4385
2006-08-13,0.4249
2006-08-29,0.4017
2006-09-14,0.5207
2006-09-30,0.55745
2006-10-16,0.5942
2006-11-01,0.7053
2006-11-17,0.5737
2006-12-03,0.66135
2006-12-19,0.749
2007-01-01,0.7428
2007-01-17,0.7366
2007-02-02,0.7304
2007-02-18,0.7242
2007-03-06,0.73235
2007-03-22,0.7405
2007-04-07,0.7479
2007-04-23,0.7763
2007-05-09,0.7439
2007-05-25,0.6629
2007-06-10,0.5392
2007-06-26,0.5037
2007-07-12,0.4755
2007-07-28,0.4421
2007-08-13,0.4809
2007-08-29,0.4749
2007-09-14,0.3941
2007-09-30,0.509
2007-10-16,0.6239
2007-11-01,0.66835
2007-11-17,0.7128
2007-12-03,0.75725
2007-12-19,0.8017
2008-01-01,0.78194
2008-01-17,0.76218
2008-02-02,0.74242
2008-02-18,0.72266
2008-03-05,0.7029
2008-03-21,0.70685
2008-04-06,0.7108
2008-04-22,0.7402
2008-05-08,0.7299
2008-05-24,0.7273
2008-06-09,0.6446
2008-06-25,0.6226
2008-07-11,0.5139
2008-07-27,0.451
2008-08-12,0.4693
2008-08-28,0.4758
2008-09-13,0.5316
2008-09-29,0.5938
2008-10-15,0.5902
2008-10-31,0.7154
2008-11-16,0.66325
2008-12-02,0.6111
2008-12-18,0.55895
2009-01-01,0.5068
2009-01-17,0.615725
2009-02-02,0.72465
2009-02-18,0.833575
2009-03-06,0.9425
2009-03-22,0.9767
2009-04-07,0.9136
2009-04-23,0.8505
2009-05-09,0.7874
2009-05-25,0.7142
2009-06-10,0.6862
2009-06-26,0.7122
2009-07-12,0.6701
2009-07-28,0.6237
2009-08-13,0.5711
2009-08-29,0.5881
2009-09-14,0.5939
2009-09-30,0.5914
2009-10-16,0.5884
2009-11-01,0.6203
2009-11-17,0.6522
2009-12-03,0.6644
2009-12-19,0.6766
2010-01-01,0.6888
2010-01-17,0.701
2010-02-02,0.690666666666667
2010-02-18,0.680333333333333
2010-03-06,0.67
2010-03-22,0.68575
2010-04-07,0.7015
2010-04-23,0.6392
2010-05-09,0.6582
2010-05-25,0.6326
2010-06-10,0.5976
2010-06-26,0.6367
2010-07-12,0.4377
2010-07-28,0.4063
2010-08-13,0.4002
2010-08-29,0.4911
2010-09-14,0.6122
2010-09-30,0.6231
2010-10-16,0.6476
2010-11-01,0.6721
2010-11-17,0.6876
2010-12-03,0.6938
2010-12-19,0.7078
2011-01-01,0.7021
2011-01-17,0.69355
2011-02-02,0.685
2011-02-18,0.66245
2011-03-06,0.6399
2011-03-22,0.71815
2011-04-07,0.7964
2011-04-23,0.781
2011-05-09,0.7416
2011-05-25,0.6281
2011-06-10,0.5895
2011-06-26,0.5198
2011-07-12,0.477
2011-07-28,0.4385
2011-08-13,0.4203
2011-08-29,0.4577
2011-09-14,0.5923
2011-09-30,0.5881
2011-10-16,0.653
2011-11-01,0.65965
2011-11-17,0.6663
2011-12-03,0.707
2011-12-19,0.7147
2012-01-01,0.7224
2012-01-17,0.6664
2012-02-02,0.663866666666667
2012-02-18,0.661333333333333
2012-03-05,0.6588
2012-03-21,0.6856
2012-04-06,0.7124
2012-04-22,0.7392
2012-05-08,0.7266
2012-05-24,0.694
2012-06-09,0.672
2012-06-25,0.6224
2012-07-11,0.5432
2012-07-27,0.4838
2012-08-12,0.451
2012-08-28,0.4191
2012-09-13,0.4585
2012-09-29,0.502
2012-10-15,0.5827
2012-10-31,0.6897
2012-11-16,0.7067
2012-12-02,0.7237
2012-12-18,0.7163
2013-01-01,0.72038
2013-01-17,0.72446
2013-02-02,0.72854
2013-02-18,0.73262
2013-03-06,0.7367
2013-03-22,0.6756
2013-04-07,0.7484
2013-04-23,0.7795
2013-05-09,0.7378
2013-05-25,0.7402
2013-06-10,0.764
2013-06-26,0.7415
2013-07-12,0.6916
2013-07-28,0.5521
2013-08-13,0.5486
2013-08-29,0.5885
2013-09-14,0.5803
2013-09-30,0.630066666666667
2013-10-16,0.679833333333333
2013-11-01,0.7296
2013-11-17,0.730836363636364
2013-12-03,0.732072727272727
2013-12-19,0.733309090909091
2014-01-01,0.734545454545455
2014-01-17,0.735781818181818
2014-02-02,0.737018181818182
2014-02-18,0.738254545454545
2014-03-06,0.739490909090909
2014-03-22,0.740727272727273
2014-04-07,0.741963636363636
2014-04-23,0.7432
2014-05-09,0.7359
2014-05-25,0.7717
2014-06-10,0.7072
2014-06-26,0.6422
2014-07-12,0.6104
2014-07-28,0.5488
2014-08-13,0.493
2014-08-29,0.4748
2014-09-14,0.6023
2014-09-30,0.6898
2014-10-16,0.5988
2014-11-01,0.61154
2014-11-17,0.62428
2014-12-03,0.63702
2014-12-19,0.64976
2015-01-01,0.6625
2015-01-17,0.6665
2015-02-02,0.6705
2015-02-18,0.689183333333333
2015-03-06,0.707866666666667
2015-03-22,0.72655
2015-04-07,0.745233333333333
2015-04-23,0.763916666666667
2015-05-09,0.7826
2015-05-25,0.7827
2015-06-10,0.7338
2015-06-26,0.6567
2015-07-12,0.612
2015-07-28,0.5114
2015-08-13,0.4494
2015-08-29,0.5943
2015-09-14,0.5914
2015-09-30,0.5706
2015-10-16,0.4764
2015-11-01,0.6093
2015-11-17,0.6318
2015-12-03,0.7074
2015-12-19,0.7191125
2016-01-01,0.730825
2016-01-17,0.7425375
2016-02-02,0.75425
2016-02-18,0.7659625
2016-03-05,0.777675
2016-03-21,0.7893875
2016-04-06,0.8011
2016-04-22,0.7804
2016-05-08,0.7563
2016-05-24,0.7589
2016-06-09,0.7218
2016-06-25,0.633
2016-07-11,0.5277
2016-07-27,0.4625
2016-08-12,0.4438
2016-08-28,0.4793
2016-09-13,0.5741
2016-09-29,0.5606
2016-10-15,0.6637
2016-10-31,0.7668
2016-11-16,0.757166666666667
2016-12-02,0.747533333333333
2016-12-18,0.7379
2017-01-01,0.728266666666667
2017-01-17,0.718633333333333
2017-02-02,0.709
2017-02-18,0.699366666666667
2017-03-06,0.689733333333333
2017-03-22,0.6801
2017-04-07,0.7198
2017-04-23,0.7287
2017-05-09,0.7268
2017-05-25,0.7276
2017-06-10,0.6769
2017-06-26,0.6256
2017-07-12,0.5391
2017-07-28,0.4613
2017-08-13,0.5292
2017-08-29,0.515
2017-09-14,0.5571
2017-09-30,0.6351
2017-10-16,0.5116
2017-11-01,0.7495
2017-11-17,0.79015
2017-12-03,0.8308
2017-12-19,0.8083
2018-01-01,0.7858
2018-01-17,0.7318
2018-02-02,0.71
2018-02-18,0.7663
2018-03-06,0.8226
2018-03-22,0.7597
2018-04-07,0.7749
2018-04-23,0.8946
2018-05-09,0.7558
2018-05-25,0.7967
2018-06-10,0.6961
2018-06-26,0.6953
2018-07-12,0.5338
2018-07-28,0.5497
2018-08-13,0.5821
2018-08-29,0.5581
2018-09-14,0.607
2018-09-30,0.6516
2018-10-16,0.6891
2018-11-01,0.718833333333333
2018-11-17,0.748566666666667
2018-12-03,0.7783
2018-12-19,0.747233333333333
2019-01-01,0.716166666666667
2019-01-17,0.6851
2019-02-02,0.7844
2019-02-18,0.7856
2019-03-06,0.7868
2019-03-22,0.7803
2019-04-07,0.7626
2019-04-23,0.7449
2019-05-09,0.7226
2019-05-25,0.6814
2019-06-10,0.6626
2019-06-26,0.6046
2019-07-12,0.5486
2019-07-28,0.4596
2019-08-13,0.4421
2019-08-29,0.4689
2019-09-14,0.52
2019-09-30,0.6532
2019-10-16,0.73645
2019-11-01,0.8197
2019-11-17,0.7667
2019-12-03,0.6734
2019-12-19,0.66635
2020-01-01,0.6593
2020-01-17,0.7219
2020-02-02,0.7377
2020-02-18,0.7535
2020-03-05,0.7693
2020-03-21,0.7851
2020-04-06,0.8009
2020-04-22,0.5624
2020-05-08,0.7308
2020-05-24,0.7397
2020-06-09,0.6616
2020-06-25,0.6602
2020-07-11,0.5347
2020-07-27,0.4615
2020-08-12,0.4149
2020-08-28,0.4226
2020-09-13,0.5649
2020-09-29,0.5488
2020-10-15,0.5982
2020-10-31,0.6776
2020-11-16,0.7222
2020-12-02,0.7668
2020-12-18,0.7526
2021-01-01,0.7384
2021-01-17,0.8631
2021-02-02,0.8529
2021-02-18,0.8046
2021-03-06,0.7563
2021-03-22,0.7308
2021-04-07,0.73795
2021-04-23,0.7451
2021-05-09,0.7107
2021-05-25,0.6519
2021-06-10,0.6594
2021-06-26,0.535
2021-07-12,0.4554
2021-07-28,0.4018
2021-08-13,0.3879
2021-08-29,0.4441
2021-09-14,0.5288
2021-09-30,0.6497
2021-10-16,0.6985
2021-11-01,0.725225
2021-11-17,0.75195
2021-12-03,0.778675
2021-12-19,0.8054
2022-01-01,0.7919
2022-01-17,0.7229
2022-02-02,0.7211
2022-02-18,0.7193
2022-03-06,0.7175
2022-03-22,0.7075
2022-04-07,0.7005
2022-04-23,0.7712
2022-05-09,0.7506
2022-05-25,0.6666
2022-06-10,0.6839
2022-06-26,0.6738
2022-07-12,0.5356
2022-07-28,0.5073
2022-08-13,0.4773
2022-08-29,0.4746
2022-09-14,0.5224
2022-09-30,0.601966666666667
2022-10-16,0.681533333333333
2022-11-01,0.7611
2022-11-17,0.7803
2022-12-03,0.7995
2022-12-19,0.7391
2023-01-01,0.7709
2023-01-17,0.780425
2023-02-02,0.78995
2023-02-18,0.799475
2023-03-06,0.809
2023-03-22,0.742533333333333
2023-04-07,0.676066666666667
2023-04-23,0.6096
2023-05-09,0.745
2023-05-25,0.7367
2023-06-10,0.7567
2023-06-26,0.724
2023-07-12,0.5954
2023-07-28,0.5299
2023-08-13,0.546
2023-08-29,0.5752
2023-09-14,0.64
2023-09-30,0.6809
2023-10-16,0.6513
2023-11-01,0.6933
2023-11-17,0.8128
2023-12-03,0.7859
2023-12-19,0.759
